date,event_code,title,tags,challenger_context,confidence,official_url,notes
2024-06-20,MILESTONE_1,MILESTONE 1차,"population_inflow_shock;growth_support;boss_accessibility_shock",none,high,https://maplestory.nexon.com/news/update/746,"200레벨 이하 성장동선 개편, 제네시스 퀘스트 편의 개선. 동시기 Hyper Burning/Item Burning 이벤트로 신규·복귀 계정 유입 가능성 큼."
2024-07-18,MILESTONE_2_LIMBO,Limbo/HEXA/boss reward update,"population_inflow_shock;boss_accessibility_shock;reward_schedule_shock;new_boss_frontier_shock",none,high,https://maplestory.nexon.com/news/update/749,"신규 보스 림보, HEXA/보스 보상 및 성장 이벤트. B/A의 단순 smoothness를 기대하면 안 되는 구간."
2024-08-13,CHAMPION_BURNING,Champion Burning,"population_inflow_shock;growth_support",none,medium,https://maplestory.nexon.com/news/update/750,"이벤트성 성장 지원. 직접 결정석 보상 변경으로 보지 않음."
2024-09-12,TALAHAT_CHALLENGE,Talahat/Champion Challenge,"growth_support;new_frontier_content",none,medium,https://maplestory.nexon.com/news/update/752,"신규 지역 및 성장/도전 콘텐츠."
2024-10-17,AZMOTH_INTRO,Azmoth Canyon introduction,"economy_content_shock",none,high,https://maplestory.nexon.com/news/update/756,"아즈모스 도입. 직접적인 보스 결정석 reward multiplier로 분류하지 않음."
2024-11-21,SPECIAL_WORLD_NEXT_PREP,Special World / What's NEXT,"population_inflow_shock;growth_support",none,medium,https://maplestory.nexon.com/news/update/758,"특수 월드·이벤트·NEXT 예고/준비 성격. 본섭 활동계정 구성 변화 가능."
2024-12-19,NEXT_S1,NEXT / Challenger Season 1,"population_inflow_shock;growth_support;boss_accessibility_shock",season1,high,https://maplestory.nexon.com/news/update/761,"Challenger S1, Hyper Burning MAX, Item Burning. 제네시스 해방 관련 조건 변경은 별도 시스템 업데이트와 함께 고려."
2025-01-16,CRYSTAL_CAP_90,Strong Crystal weekly sale cap 180→90,"reward_schedule_shock;population_inflow_shock;growth_support",season1,high,https://maplestory.nexon.com/news/update/764,"월드당 주간 강렬한 힘의 결정 판매 제한이 180개에서 90개로 감소. 다배럭 본섭 평균 생산능력에 직접 영향 가능한 V2 누락 intervention."
2025-02-20,BALDRIX_CHAMPION,Baldriks / Champion update,"new_boss_frontier_shock;growth_support;boss_accessibility_shock",season1,high,https://maplestory.nexon.com/news/update/766,"신규 상위 보스와 성장/챔피언 콘텐츠."
2025-03-20,DESTINY_HEXA_BOSS_REWORK,Destiny/HEXA/Starforce/boss-system update,"boss_accessibility_shock;growth_support;reward_schedule_shock",season1,high,https://maplestory.nexon.com/news/update/767,"스타포스·데스티니/HEXA·보스 보상/패턴 및 특수 스킬 반지 관련 대규모 변경. 시즌1 w 상승을 해석할 때 반드시 고려."
2025-04-17,CRYSTAL_ADJ_0417,Crystal price adjustment / Hyper Burning Booster,"reward_schedule_shock;population_inflow_shock;growth_support",season1,high,https://maplestory.nexon.com/news/update/768,"결정석 가격 직접 변경. V2에서는 external reward-table factor 사용."
